5	65	0
84	9	1
27	23	0
88	39	1
85	58	1
4	58	0
3	94	0
70	12	1
88	78	1
89	76	1
8	1	0
36	14	0
87	52	1
63	55	1
11	91	1
10	54	0
89	87	1
11	1	0
66	57	1
97	40	1
46	26	0
41	7	0
87	21	1
64	61	1
40	73	1
84	80	1
15	13	0
77	8	1
11	16	0
94	76	1
83	75	1
2	6	0
55	71	1
78	95	1
26	54	0
75	15	1
31	92	1
56	16	0
28	17	0
21	88	1
78	13	1
70	66	1
23	60	0
52	81	1
91	19	1
28	83	1
55	15	0
54	27	0
4	37	0
97	12	1
40	17	0
38	75	1
53	30	0
49	9	0
12	23	0
53	10	0
13	23	0
1	15	0
66	12	0
69	71	1
53	32	1
81	21	1
60	15	0
20	19	0
53	99	1
98	29	1
68	12	1
70	95	1
10	48	0
6	27	0
21	74	1
94	28	1
79	6	1
82	52	1
53	4	0
29	61	0
53	33	1
1	31	0
54	83	1
76	84	1
80	44	1
30	92	1
77	20	1
93	73	1
31	91	1
44	55	1
16	63	0
59	94	1
83	7	1
26	33	0
41	4	0
54	98	1
52	21	0
17	65	0
66	38	1
42	79	1
7	55	0
61	2	0
70	40	1
93	83	1
